Ivan Rodriguez,TEX,1999,2,25,113,35,.558,.356,.332,6.4
Joe Mauer,MIN,2009,2,4,96,28,.587,.444,.365,7.8
Ryan Howard,PHI,2006,3,0,149,58,.659,.425,.313,5.2
Mo Vaughn,BOS,1995,3,11,126,39,.575,.388,.300,4.3
Justin Morneau,MIN,2006,3,3,130,34,.559,.375,.321,4.3
Frank Thomas,CHW,1994,3,2,101,38,.729,.487,.353,6.4
Frank Thomas,CHW,1993,3,4,128,41,.607,.426,.317,6.2
Albert Pujols,STL,2008,3,7,116,37,.653,.462,.357,9.2
Albert Pujols,STL,2005,3,16,117,41,.609,.430,.330,8.4
Jason Giambi,OAK,2000,3,2,137,43,.647,.476,.333,7.8
Jeff Bagwell,HOU,1994,3,15,116,39,.750,.451,.368,8.2
Albert Pujols,STL,2009,3,16,135,47,.658,.443,.327,9.7
Joey Votto,CIN,2010,3,16,113,37,.600,.424,.324,7.0
Dustin Pedroia,BOS,2008,4,20,83,17,.493,.376,.326,7.0
Jeff Kent,SFG,2000,4,12,125,33,.596,.424,.334,7.2
Alex Rodriguez,NYY,2007,5,24,156,54,.645,.422,.314,9.4
Alex Rodriguez,NYY,2005,5,21,130,48,.610,.421,.321,9.4
Ken Caminiti,SDP,1996,5,11,130,40,.621,.408,.326,7.6
Chipper Jones,ATL,1999,5,25,110,45,.633,.441,.319,6.9
Barry Bonds,SFG,1992,6,39,103,34,.624,.456,.311,9.4
Jimmy Rollins,PHI,2007,6,41,94,30,.531,.344,.296,6.1
Alex Rodriguez,TEX,2003,6,17,118,47,.600,.396,.298,8.4
Barry Larkin,CIN,1995,6,51,66,15,.492,.394,.319,5.9
Miguel Tejada,OAK,2002,6,7,131,34,.508,.354,.308,5.7
Barry Bonds,SFG,2002,7,9,110,46,.799,.582,.370,11.7
Barry Bonds,SFG,2001,7,13,137,73,.863,.515,.328,11.9
Josh Hamilton,TEX,2010,7,8,100,32,.633,.411,.359,8.7
Barry Bonds,SFG,2004,7,6,101,45,.812,.609,.362,10.6
Barry Bonds,SFG,2003,7,7,90,45,.749,.529,.341,9.2
Barry Bonds,SFG,1993,7,29,123,46,.677,.458,.336,9.9
Ichiro Suzuki,SEA,2001,8,56,69,8,.457,.381,.350,7.7
Ken Griffey Jr.,SEA,1997,8,15,147,56,.646,.382,.304,9.1
Vladimir Guerrero,ANA,2004,9,15,126,39,.598,.391,.337,5.6
Juan Gonzalez,TEX,1996,9,2,144,47,.643,.368,.314,3.8
Juan Gonzalez,TEX,1998,9,2,157,45,.630,.366,.318,4.9
Larry Walker,COL,1997,9,33,130,49,.720,.452,.366,9.8
Sammy Sosa,CHC,1998,9,18,158,66,.647,.377,.308,6.5
